JRz485_2_afterdeh , 4.11.2023, 20:30
Fixed value(s) :  AC Volt  [Vrms]=1.0000e+00  
 Freq. [Hz]	 Temp. [C]	 Modulus'  	 Modulus''  	 Eps'    	 Eps''   	 Sig' [S/cm]	 Sig'' [S/cm]	Tan(Delta)  	Tan(Phi)  
4.95080e+04	2.00000e+01	3.91824e-02	5.29827e-05	2.55216e+01	3.45106e-02	9.50511e-10	6.75389e-07	1.35221e-03	-7.39531e+02
3.82730e+04	2.00000e+01	3.91836e-02	5.01828e-05	2.55208e+01	3.26848e-02	6.95932e-10	5.22104e-07	1.28071e-03	-7.80818e+02
2.95880e+04	2.00000e+01	3.91728e-02	4.99546e-05	2.55279e+01	3.25540e-02	5.35858e-10	4.03742e-07	1.27524e-03	-7.84168e+02
2.28740e+04	2.00000e+01	3.91668e-02	5.04104e-05	2.55318e+01	3.28612e-02	4.18171e-10	3.12177e-07	1.28707e-03	-7.76959e+02
1.76830e+04	2.00000e+01	3.91600e-02	5.11677e-05	2.55362e+01	3.33665e-02	3.28243e-10	2.41376e-07	1.30663e-03	-7.65325e+02
1.36710e+04	2.00000e+01	3.91528e-02	5.20406e-05	2.55409e+01	3.39481e-02	2.58193e-10	1.86647e-07	1.32917e-03	-7.52351e+02
1.05680e+04	2.00000e+01	3.91429e-02	5.33201e-05	2.55474e+01	3.48004e-02	2.04600e-10	1.44320e-07	1.36219e-03	-7.34112e+02
8.17010e+03	2.00000e+01	3.91361e-02	5.69445e-05	2.55518e+01	3.71789e-02	1.68987e-10	1.11594e-07	1.45504e-03	-6.87267e+02
6.31610e+03	2.00000e+01	3.91274e-02	5.92309e-05	2.55575e+01	3.86889e-02	1.35945e-10	8.62904e-08	1.51380e-03	-6.60591e+02
4.88290e+03	2.00000e+01	3.91195e-02	6.23014e-05	2.55626e+01	4.07108e-02	1.10590e-10	6.67239e-08	1.59259e-03	-6.27907e+02
3.77480e+03	2.00000e+01	3.91191e-02	6.61972e-05	2.55629e+01	4.32574e-02	9.08414e-11	5.15825e-08	1.69220e-03	-5.90948e+02
2.91820e+03	2.00000e+01	3.91053e-02	7.08992e-05	2.55719e+01	4.63627e-02	7.52684e-11	3.98917e-08	1.81303e-03	-5.51562e+02
2.25600e+03	2.00000e+01	3.90956e-02	7.64781e-05	2.55782e+01	5.00357e-02	6.27983e-11	3.08474e-08	1.95618e-03	-5.11200e+02
1.74410e+03	2.00000e+01	3.90847e-02	8.25251e-05	2.55854e+01	5.40221e-02	5.24169e-11	2.38549e-08	2.11144e-03	-4.73610e+02
1.34830e+03	2.00000e+01	3.90731e-02	9.03003e-05	2.55929e+01	5.91467e-02	4.43656e-11	1.84470e-08	2.31106e-03	-4.32702e+02
1.04230e+03	2.00000e+01	3.90580e-02	9.87553e-05	2.56028e+01	6.47349e-02	3.75371e-11	1.42661e-08	2.52843e-03	-3.95502e+02
8.05800e+02	2.00000e+01	3.90443e-02	1.08634e-04	2.56117e+01	7.12599e-02	3.19449e-11	1.10331e-08	2.78232e-03	-3.59413e+02
6.22940e+02	2.00000e+01	3.90290e-02	1.19630e-04	2.56218e+01	7.85347e-02	2.72168e-11	8.53286e-09	3.06516e-03	-3.26248e+02
4.81580e+02	2.00000e+01	3.90151e-02	1.31296e-04	2.56308e+01	8.62545e-02	2.31089e-11	6.59897e-09	3.36527e-03	-2.97153e+02
3.72300e+02	2.00000e+01	3.90005e-02	1.44777e-04	2.56404e+01	9.51819e-02	1.97141e-11	5.10352e-09	3.71219e-03	-2.69383e+02
2.87820e+02	2.00000e+01	3.89756e-02	1.59759e-04	2.56566e+01	1.05165e-01	1.68392e-11	3.94806e-09	4.09894e-03	-2.43965e+02
2.22500e+02	2.00000e+01	3.89518e-02	1.76291e-04	2.56723e+01	1.16189e-01	1.43822e-11	3.05399e-09	4.52587e-03	-2.20952e+02
1.72010e+02	2.00000e+01	3.89246e-02	1.94867e-04	2.56900e+01	1.28611e-01	1.23073e-11	2.36268e-09	5.00627e-03	-1.99750e+02
1.32980e+02	2.00000e+01	3.88951e-02	2.15729e-04	2.57094e+01	1.42596e-01	1.05493e-11	1.82801e-09	5.54644e-03	-1.80296e+02
1.02800e+02	2.00000e+01	3.88622e-02	2.35815e-04	2.57310e+01	1.56135e-01	8.92938e-12	1.41437e-09	6.06796e-03	-1.64800e+02
7.94740e+01	2.00000e+01	3.88250e-02	2.59873e-04	2.57554e+01	1.72393e-01	7.62207e-12	1.09452e-09	6.69345e-03	-1.49400e+02
6.14400e+01	2.00000e+01	3.87861e-02	2.85845e-04	2.57810e+01	1.90000e-01	6.49432e-12	8.47031e-10	7.36977e-03	-1.35689e+02
4.74970e+01	2.00000e+01	3.87409e-02	3.05491e-04	2.58109e+01	2.03532e-01	5.37809e-12	6.55599e-10	7.88550e-03	-1.26815e+02
3.67190e+01	2.00000e+01	3.87015e-02	3.41089e-04	2.58368e+01	2.27709e-01	4.65157e-12	5.07360e-10	8.81334e-03	-1.13464e+02
2.83870e+01	2.00000e+01	3.86450e-02	3.71992e-04	2.58742e+01	2.49062e-01	3.93329e-12	3.92824e-10	9.62588e-03	-1.03887e+02
2.19450e+01	2.00000e+01	3.85876e-02	4.08717e-04	2.59121e+01	2.74459e-01	3.35076e-12	3.04141e-10	1.05919e-02	-9.44116e+01
1.69650e+01	2.00000e+01	3.85277e-02	4.44684e-04	2.59519e+01	2.99534e-01	2.82703e-12	2.35498e-10	1.15419e-02	-8.66408e+01
1.31150e+01	2.00000e+01	3.84635e-02	4.87759e-04	2.59945e+01	3.29638e-01	2.40511e-12	1.82365e-10	1.26811e-02	-7.88577e+01
1.01390e+01	2.00000e+01	3.83872e-02	5.31346e-04	2.60453e+01	3.60513e-01	2.03350e-12	1.41270e-10	1.38417e-02	-7.22453e+01
7.83830e+00	2.00000e+01	3.83101e-02	5.81876e-04	2.60968e+01	3.96373e-01	1.72844e-12	1.09438e-10	1.51886e-02	-6.58389e+01
6.05960e+00	2.00000e+01	3.82247e-02	6.42035e-04	2.61537e+01	4.39287e-01	1.48089e-12	8.47961e-11	1.67963e-02	-5.95367e+01
4.68460e+00	2.00000e+01	3.81390e-02	7.06759e-04	2.62109e+01	4.85718e-01	1.26586e-12	6.57037e-11	1.85311e-02	-5.39632e+01
3.62150e+00	2.00000e+01	3.80372e-02	7.78291e-04	2.62790e+01	5.37703e-01	1.08333e-12	5.09305e-11	2.04613e-02	-4.88727e+01
2.79970e+00	2.00000e+01	3.79244e-02	8.60401e-04	2.63547e+01	5.97916e-01	9.31281e-13	3.94911e-11	2.26873e-02	-4.40776e+01
2.16440e+00	2.00000e+01	3.78042e-02	9.52915e-04	2.64353e+01	6.66344e-01	8.02352e-13	3.06269e-11	2.52066e-02	-3.96721e+01
1.67320e+00	2.00000e+01	3.76689e-02	1.05799e-03	2.65262e+01	7.45031e-01	6.93508e-13	2.37609e-11	2.80866e-02	-3.56042e+01
1.29350e+00	2.00000e+01	3.75240e-02	1.17378e-03	2.66236e+01	8.32807e-01	5.99294e-13	1.84389e-11	3.12808e-02	-3.19685e+01
1.00000e+00	2.00000e+01	3.73588e-02	1.30473e-03	2.67349e+01	9.33696e-01	5.19439e-13	1.43170e-11	3.49243e-02	-2.86334e+01
3.00000e+05	1.50000e+01	3.92679e-02	6.90582e-05	2.54660e+01	4.47856e-02	7.47461e-09	4.08332e-06	1.75864e-03	-5.68620e+02
2.31920e+05	1.50000e+01	3.92627e-02	6.52366e-05	2.54694e+01	4.23185e-02	5.46007e-09	3.15712e-06	1.66154e-03	-6.01850e+02
1.79290e+05	1.50000e+01	3.92548e-02	5.89935e-05	2.54745e+01	3.82840e-02	3.81859e-09	2.44118e-06	1.50283e-03	-6.65409e+02
1.38610e+05	1.50000e+01	3.92497e-02	5.67441e-05	2.54779e+01	3.68339e-02	2.84034e-09	1.88754e-06	1.44572e-03	-6.91697e+02
1.07150e+05	1.50000e+01	3.92432e-02	5.50340e-05	2.54821e+01	3.57356e-02	2.13021e-09	1.45938e-06	1.40238e-03	-7.13073e+02
8.28380e+04	1.50000e+01	3.92347e-02	5.35240e-05	2.54876e+01	3.47703e-02	1.60239e-09	1.12851e-06	1.36420e-03	-7.33029e+02
6.40400e+04	1.50000e+01	3.92273e-02	5.24916e-05	2.54924e+01	3.41125e-02	1.21533e-09	8.72594e-07	1.33814e-03	-7.47305e+02
4.95080e+04	1.50000e+01	3.92205e-02	5.16793e-05	2.54968e+01	3.35962e-02	9.25325e-10	6.74706e-07	1.31766e-03	-7.58920e+02
3.82730e+04	1.50000e+01	3.92221e-02	4.82393e-05	2.54958e+01	3.13574e-02	6.67669e-10	5.21571e-07	1.22990e-03	-8.13072e+02
2.95880e+04	1.50000e+01	3.92114e-02	4.76689e-05	2.55027e+01	3.10034e-02	5.10333e-10	4.03329e-07	1.21569e-03	-8.22579e+02
2.28740e+04	1.50000e+01	3.92055e-02	4.74834e-05	2.55066e+01	3.08921e-02	3.93115e-10	3.11856e-07	1.21114e-03	-8.25667e+02
1.76830e+04	1.50000e+01	3.91991e-02	4.76564e-05	2.55108e+01	3.10148e-02	3.05108e-10	2.41125e-07	1.21575e-03	-8.22536e+02
1.36710e+04	1.50000e+01	3.91925e-02	4.78266e-05	2.55150e+01	3.11360e-02	2.36806e-10	1.86450e-07	1.22030e-03	-8.19471e+02
1.05680e+04	1.50000e+01	3.91832e-02	4.81789e-05	2.55211e+01	3.13802e-02	1.84492e-10	1.44166e-07	1.22958e-03	-8.13287e+02
8.17010e+03	1.50000e+01	3.91768e-02	5.06915e-05	2.55253e+01	3.30275e-02	1.50118e-10	1.11473e-07	1.29392e-03	-7.72848e+02
6.31610e+03	1.50000e+01	3.91694e-02	5.30377e-05	2.55301e+01	3.45693e-02	1.21470e-10	8.61940e-08	1.35406e-03	-7.38520e+02
4.88290e+03	1.50000e+01	3.91626e-02	5.47156e-05	2.55345e+01	3.56753e-02	9.69114e-11	6.66476e-08	1.39714e-03	-7.15747e+02
3.77480e+03	1.50000e+01	3.91629e-02	5.72863e-05	2.55343e+01	3.73509e-02	7.84375e-11	5.15225e-08	1.46277e-03	-6.83634e+02
2.91820e+03	1.50000e+01	3.91500e-02	6.05885e-05	2.55427e+01	3.95298e-02	6.41755e-11	3.98443e-08	1.54760e-03	-6.46162e+02
2.25600e+03	1.50000e+01	3.91422e-02	6.47100e-05	2.55478e+01	4.22357e-02	5.30088e-11	3.08092e-08	1.65320e-03	-6.04886e+02
1.74410e+03	1.50000e+01	3.91331e-02	6.93820e-05	2.55537e+01	4.53060e-02	4.39599e-11	2.38242e-08	1.77297e-03	-5.64025e+02
1.34830e+03	1.50000e+01	3.91233e-02	7.46933e-05	2.55601e+01	4.87988e-02	3.66037e-11	1.84224e-08	1.90918e-03	-5.23786e+02
1.04230e+03	1.50000e+01	3.91106e-02	8.09865e-05	2.55684e+01	5.29445e-02	3.07003e-11	1.42462e-08	2.07070e-03	-4.82928e+02
8.05800e+02	1.50000e+01	3.90998e-02	8.87783e-05	2.55754e+01	5.80704e-02	2.60322e-11	1.10169e-08	2.27056e-03	-4.40421e+02
6.22940e+02	1.50000e+01	3.90872e-02	9.65806e-05	2.55836e+01	6.32145e-02	2.19075e-11	8.51965e-09	2.47090e-03	-4.04711e+02
4.81580e+02	1.50000e+01	3.90735e-02	1.05740e-04	2.55926e+01	6.92581e-02	1.85553e-11	6.58874e-09	2.70617e-03	-3.69526e+02
3.72300e+02	1.50000e+01	3.90661e-02	1.16292e-04	2.55974e+01	7.61984e-02	1.57822e-11	5.09462e-09	2.97680e-03	-3.35931e+02
2.87820e+02	1.50000e+01	3.90460e-02	1.28169e-04	2.56105e+01	8.40670e-02	1.34609e-11	3.94068e-09	3.28251e-03	-3.04645e+02
2.22500e+02	1.50000e+01	3.90270e-02	1.41495e-04	2.56230e+01	9.28976e-02	1.14991e-11	3.04789e-09	3.62556e-03	-2.75820e+02
1.72010e+02	1.50000e+01	3.90061e-02	1.57040e-04	2.56366e+01	1.03214e-01	9.87695e-12	2.35757e-09	4.02605e-03	-2.48382e+02
1.32980e+02	1.50000e+01	3.89831e-02	1.73666e-04	2.56517e+01	1.14276e-01	8.45413e-12	1.82373e-09	4.45490e-03	-2.24472e+02
1.02800e+02	1.50000e+01	3.89538e-02	1.90463e-04	2.56708e+01	1.25516e-01	7.17830e-12	1.41093e-09	4.88945e-03	-2.04522e+02
7.94740e+01	1.50000e+01	3.89260e-02	2.11838e-04	2.56890e+01	1.39802e-01	6.18111e-12	1.09159e-09	5.44208e-03	-1.83753e+02
6.14400e+01	1.50000e+01	3.88934e-02	2.32168e-04	2.57104e+01	1.53474e-01	5.24584e-12	8.44616e-10	5.96935e-03	-1.67522e+02
4.74970e+01	1.50000e+01	3.88618e-02	2.62230e-04	2.57310e+01	1.73626e-01	4.58787e-12	6.53487e-10	6.74774e-03	-1.48198e+02
3.67190e+01	1.50000e+01	3.88269e-02	2.80516e-04	2.57540e+01	1.86067e-01	3.80093e-12	5.05668e-10	7.22478e-03	-1.38412e+02
2.83870e+01	1.50000e+01	3.87802e-02	3.06520e-04	2.57848e+01	2.03804e-01	3.21855e-12	3.91411e-10	7.90403e-03	-1.26518e+02
2.19450e+01	1.50000e+01	3.87312e-02	3.33212e-04	2.58170e+01	2.22109e-01	2.71163e-12	3.02981e-10	8.60319e-03	-1.16236e+02
1.69650e+01	1.50000e+01	3.86845e-02	3.65866e-04	2.58478e+01	2.44461e-01	2.30724e-12	2.34516e-10	9.45769e-03	-1.05734e+02
1.31150e+01	1.50000e+01	3.86287e-02	4.00516e-04	2.58847e+01	2.68381e-01	1.95817e-12	1.81564e-10	1.03683e-02	-9.64474e+01
1.01390e+01	1.50000e+01	3.85636e-02	4.38343e-04	2.59278e+01	2.94715e-01	1.66236e-12	1.40608e-10	1.13667e-02	-8.79760e+01
7.83830e+00	1.50000e+01	3.84966e-02	4.77828e-04	2.59723e+01	3.22373e-01	1.40576e-12	1.08895e-10	1.24122e-02	-8.05660e+01
6.05960e+00	1.50000e+01	3.84257e-02	5.20645e-04	2.60195e+01	3.52549e-01	1.18848e-12	8.43435e-11	1.35494e-02	-7.38039e+01
4.68460e+00	1.50000e+01	3.83613e-02	5.75783e-04	2.60620e+01	3.91177e-01	1.01947e-12	6.53158e-11	1.50095e-02	-6.66247e+01
3.62150e+00	1.50000e+01	3.82773e-02	6.28811e-04	2.61181e+01	4.29062e-01	8.64445e-13	5.06062e-11	1.64278e-02	-6.08725e+01
2.79970e+00	1.50000e+01	3.81807e-02	6.92100e-04	2.61827e+01	4.74613e-01	7.39231e-13	3.92231e-11	1.81270e-02	-5.51664e+01
2.16440e+00	1.50000e+01	3.80852e-02	7.61655e-04	2.62464e+01	5.24894e-01	6.32031e-13	3.03995e-11	1.99987e-02	-5.00032e+01
1.67320e+00	1.50000e+01	3.79762e-02	8.37474e-04	2.63195e+01	5.80412e-01	5.40273e-13	2.35685e-11	2.20526e-02	-4.53461e+01
1.29350e+00	1.50000e+01	3.78544e-02	9.30422e-04	2.64011e+01	6.48911e-01	4.66961e-13	1.82788e-11	2.45790e-02	-4.06852e+01
1.00000e+00	1.50000e+01	3.77260e-02	1.03441e-03	2.64870e+01	7.26249e-01	4.04031e-13	1.41791e-11	2.74191e-02	-3.64710e+01
3.00000e+05	1.00000e+01	3.93082e-02	7.03789e-05	2.54399e+01	4.55486e-02	7.60196e-09	4.07897e-06	1.79044e-03	-5.58522e+02
2.31920e+05	1.00000e+01	3.93046e-02	6.61305e-05	2.54423e+01	4.28070e-02	5.52309e-09	3.15362e-06	1.68251e-03	-5.94349e+02
1.79290e+05	1.00000e+01	3.92941e-02	5.97236e-05	2.54491e+01	3.86804e-02	3.85812e-09	2.43864e-06	1.51991e-03	-6.57932e+02
1.38610e+05	1.00000e+01	3.92883e-02	5.73671e-05	2.54528e+01	3.71651e-02	2.86588e-09	1.88561e-06	1.46016e-03	-6.84858e+02
1.07150e+05	1.00000e+01	3.92789e-02	5.51446e-05	2.54589e+01	3.57425e-02	2.13062e-09	1.45800e-06	1.40393e-03	-7.12288e+02
8.28380e+04	1.00000e+01	3.92725e-02	5.32634e-05	2.54631e+01	3.45343e-02	1.59151e-09	1.12738e-06	1.35625e-03	-7.37326e+02
6.40400e+04	1.00000e+01	3.92652e-02	5.22237e-05	2.54678e+01	3.38727e-02	1.20679e-09	8.71716e-07	1.33002e-03	-7.51866e+02
4.95080e+04	1.00000e+01	3.92584e-02	5.10091e-05	2.54722e+01	3.30965e-02	9.11564e-10	6.74028e-07	1.29932e-03	-7.69635e+02
3.82730e+04	1.00000e+01	3.92598e-02	4.72821e-05	2.54713e+01	3.06760e-02	6.53162e-10	5.21049e-07	1.20434e-03	-8.30332e+02
2.95880e+04	1.00000e+01	3.92494e-02	4.61341e-05	2.54780e+01	2.99471e-02	4.92947e-10	4.02922e-07	1.17541e-03	-8.50768e+02
2.28740e+04	1.00000e+01	3.92432e-02	4.55530e-05	2.54821e+01	2.95792e-02	3.76407e-10	3.11544e-07	1.16079e-03	-8.61486e+02
1.76830e+04	1.00000e+01	3.92372e-02	4.53254e-05	2.54860e+01	2.94405e-02	2.89621e-10	2.40881e-07	1.15516e-03	-8.65679e+02
1.36710e+04	1.00000e+01	3.92304e-02	4.45994e-05	2.54904e+01	2.89789e-02	2.20400e-10	1.86262e-07	1.13686e-03	-8.79618e+02
1.05680e+04	1.00000e+01	3.92217e-02	4.48701e-05	2.54961e+01	2.91678e-02	1.71485e-10	1.44019e-07	1.14401e-03	-8.74117e+02
8.17010e+03	1.00000e+01	3.92160e-02	4.65470e-05	2.54998e+01	3.02667e-02	1.37569e-10	1.11357e-07	1.18694e-03	-8.42503e+02
6.31610e+03	1.00000e+01	3.92087e-02	4.76003e-05	2.55045e+01	3.09631e-02	1.08799e-10	8.61042e-08	1.21402e-03	-8.23706e+02
4.88290e+03	1.00000e+01	3.92062e-02	4.87475e-05	2.55062e+01	3.17134e-02	8.61489e-11	6.65706e-08	1.24336e-03	-8.04270e+02
3.77480e+03	1.00000e+01	3.92032e-02	5.00731e-05	2.55081e+01	3.25807e-02	6.84200e-11	5.14674e-08	1.27727e-03	-7.82920e+02
2.91820e+03	1.00000e+01	3.91925e-02	5.24784e-05	2.55151e+01	3.41645e-02	5.54650e-11	3.97995e-08	1.33899e-03	-7.46831e+02
2.25600e+03	1.00000e+01	3.91853e-02	5.57250e-05	2.55197e+01	3.62912e-02	4.55481e-11	3.07740e-08	1.42209e-03	-7.03191e+02
1.74410e+03	1.00000e+01	3.91770e-02	5.90755e-05	2.55251e+01	3.84897e-02	3.73461e-11	2.37964e-08	1.50791e-03	-6.63168e+02
1.34830e+03	1.00000e+01	3.91689e-02	6.28305e-05	2.55304e+01	4.09531e-02	3.07187e-11	1.84001e-08	1.60409e-03	-6.23406e+02
1.04230e+03	1.00000e+01	3.91581e-02	6.71008e-05	2.55374e+01	4.37606e-02	2.53749e-11	1.42282e-08	1.71359e-03	-5.83571e+02
8.05800e+02	1.00000e+01	3.91488e-02	7.29663e-05	2.55435e+01	4.76083e-02	2.13422e-11	1.10025e-08	1.86382e-03	-5.36533e+02
6.22940e+02	1.00000e+01	3.91386e-02	7.85262e-05	2.55501e+01	5.12627e-02	1.77655e-11	8.50803e-09	2.00636e-03	-4.98415e+02
4.81580e+02	1.00000e+01	3.91273e-02	8.58599e-05	2.55575e+01	5.60827e-02	1.50254e-11	6.57933e-09	2.19437e-03	-4.55711e+02
3.72300e+02	1.00000e+01	3.91230e-02	9.33131e-05	2.55603e+01	6.09645e-02	1.26270e-11	5.08693e-09	2.38512e-03	-4.19265e+02
2.87820e+02	1.00000e+01	3.91107e-02	1.02271e-04	2.55683e+01	6.68588e-02	1.07055e-11	3.93391e-09	2.61491e-03	-3.82422e+02
2.22500e+02	1.00000e+01	3.90921e-02	1.12808e-04	2.55804e+01	7.38175e-02	9.13732e-12	3.04263e-09	2.88570e-03	-3.46536e+02
1.72010e+02	1.00000e+01	3.90750e-02	1.24403e-04	2.55916e+01	8.14760e-02	7.79673e-12	2.35325e-09	3.18371e-03	-3.14099e+02
1.32980e+02	1.00000e+01	3.90577e-02	1.38125e-04	2.56028e+01	9.05426e-02	6.69836e-12	1.82012e-09	3.53643e-03	-2.82771e+02
1.02800e+02	1.00000e+01	3.90342e-02	1.53373e-04	2.56182e+01	1.00659e-01	5.75670e-12	1.40792e-09	3.92919e-03	-2.54505e+02
7.94740e+01	1.00000e+01	3.90125e-02	1.69122e-04	2.56323e+01	1.11118e-01	4.91289e-12	1.08908e-09	4.33506e-03	-2.30677e+02
6.14400e+01	1.00000e+01	3.89876e-02	1.86039e-04	2.56486e+01	1.22389e-01	4.18332e-12	8.42506e-10	4.77174e-03	-2.09567e+02
4.74970e+01	1.00000e+01	3.89601e-02	1.99683e-04	2.56666e+01	1.31550e-01	3.47605e-12	6.51786e-10	5.12532e-03	-1.95110e+02
